Order-Date,Delivery-Date,Promised-Date,Courier,Size of the box height,Size of the box width,Size of the box length,Size of the box weight,Weather,Store address,Customer address
2021-01-24,2021-01-27,2021-01-26,PS,29.632656,34.722553000000005,17.523058,3.807421276919158,Good,'-123.048/49.1534','-126.07325247944962/51.29548801984406'
2021-04-09,2021-04-13,2021-04-13,FD,29.632656,34.722553000000005,17.523058,1.902088497033647,Good,'-123.048/49.1534','-126.07255765553835/51.29486187466757'
2021-09-27,2021-10-02,2021-10-02,PS,29.632656,34.722553000000005,17.523058,2.152102507373216,Good,'-123.048/49.1534','-126.07443435490822/51.29566033167437'
2020-11-29,2020-12-04,2020-12-03,PS,29.632656,34.722553000000005,17.523058,3.802455308974656,Good,'-123.048/49.1534','-126.07310897909636/51.295612714656855'
2021-09-06,2021-09-12,2021-09-11,FD,29.632656,34.722553000000005,17.523058,5.510080987668601,Good,'-123.048/49.1534','-126.07309709870711/51.29454616285458'
2021-08-17,2021-08-22,2021-08-21,PS,29.632656,34.722553000000005,17.523058,1.6977026933051684,Good,'-123.048/49.1534','-126.07424881926244/51.29656191558943'
2021-08-24,2021-08-28,2021-08-27,FD,29.632656,34.722553000000005,17.523058,2.5168046284737,Good,'-123.048/49.1534','-126.07520956877494/51.29449285597655'
2021-03-20,2021-03-24,2021-03-23,FD,29.632656,34.722553000000005,17.523058,2.4980704970961334,Good,'-123.048/49.1534','-126.07524643759707/51.296586349033625'
2020-10-20,2020-10-23,2020-10-23,PS,29.632656,34.722553000000005,17.523058,4.780509594313885,Good,'-123.048/49.1534','-126.07298089358177/51.295825479240456'
2021-03-23,2021-03-31,2021-03-31,FD,29.632656,34.722553000000005,17.523058,5.980024139878133,Good,'-123.048/49.1534','-126.07451345674674/51.29658205388129'
2021-07-11,2021-07-16,2021-07-15,PS,29.632656,34.722553000000005,17.523058,1.1836346429444895,Good,'-123.048/49.1534','-126.07284152718658/51.29385855393562'
2021-09-21,2021-09-24,2021-09-23,PS,29.632656,34.722553000000005,17.523058,2.4116215384256616,Good,'-123.048/49.1534','-126.07360255044757/51.29327440298642'
2021-05-14,2021-05-19,2021-05-18,PS,29.632656,34.722553000000005,17.523058,4.024577134230617,Good,'-123.048/49.1534','-126.0751030766907/51.294756397609234'
2021-11-27,2021-12-01,2021-12-01,FD,29.632656,34.722553000000005,17.523058,0.7836815677835105,Good,'-123.048/49.1534','-126.07445196177672/51.29488730132904'
2021-08-20,2021-08-26,2021-08-26,FD,29.632656,34.722553000000005,17.523058,1.0078341483369664,Good,'-123.048/49.1534','-126.07452764515514/51.29491644379998'
2020-11-07,2020-11-10,2020-11-10,PS,29.632656,34.722553000000005,17.523058,0.4241928843251886,Good,'-123.048/49.1534','-126.07456424491188/51.294453049980916'
2020-11-05,2020-11-09,2020-11-08,PS,29.632656,34.722553000000005,17.523058,2.504945637365879,Good,'-123.048/49.1534','-126.07209053501231/51.2928806041992'
2021-10-29,2021-11-03,2021-11-03,FD,29.632656,34.722553000000005,17.523058,3.3451885817869584,Good,'-123.048/49.1534','-126.07437359870886/51.29420707490169'
2020-12-09,2020-12-14,2020-12-14,FD,29.632656,34.722553000000005,17.523058,2.074457893227358,Bad,'-123.048/49.1534','-126.07231378998264/51.29356279472463'
2021-10-15,2021-10-19,2021-10-19,PS,29.632656,34.722553000000005,17.523058,1.34752341523864,Good,'-123.048/49.1534','-126.07315200536848/51.29481137076127'
2021-01-02,2021-01-06,2021-01-05,PS,29.632656,34.722553000000005,17.523058,0.7953822831041469,Good,'-123.048/49.1534','-126.07434146422432/51.29425347287082'
2021-01-11,2021-01-14,2021-01-14,PS,29.632656,34.722553000000005,17.523058,2.029873601085309,Good,'-123.048/49.1534','-126.07459649785015/51.29612658799419'
2020-10-20,2020-10-24,2020-10-24,PS,29.632656,34.722553000000005,17.523058,2.3898289889303714,Good,'-123.048/49.1534','-126.07276016093485/51.29524602760661'
2021-10-29,2021-11-01,2021-11-01,PS,29.632656,34.722553000000005,17.523058,1.6287885633098034,Good,'-123.048/49.1534','-126.07393154205708/51.295371705559376'
2021-01-11,2021-01-14,2021-01-14,PS,29.632656,34.722553000000005,17.523058,0.3662268681113988,Good,'-123.048/49.1534','-126.07233860328125/51.29609663074523'
2020-11-11,2020-11-15,2020-11-14,PS,29.632656,34.722553000000005,17.523058,0.7390510293463703,Good,'-123.048/49.1534','-126.07358956313547/51.295036800193465'
2021-11-07,2021-11-13,2021-11-13,FD,29.632656,34.722553000000005,17.523058,3.55109895722489,Good,'-123.048/49.1534','-126.0722109441279/51.295030130522555'
2021-11-25,2021-11-29,2021-11-28,PS,29.632656,34.722553000000005,17.523058,3.955919450333052,Good,'-123.048/49.1534','-126.0723944939282/51.296426626404624'
2021-11-14,2021-11-19,2021-11-19,FD,29.632656,34.722553000000005,17.523058,2.3876248325514093,Good,'-123.048/49.1534','-126.07399110729975/51.29295996291443'
2021-11-15,2021-11-18,2021-11-18,PS,29.632656,34.722553000000005,17.523058,3.0169629866244505,Good,'-123.048/49.1534','-126.07416182202664/51.293611844748966'
2020-12-02,2020-12-06,2020-12-06,PS,29.632656,34.722553000000005,17.523058,1.9561602431029232,Bad,'-123.048/49.1534','-126.07299258911353/51.293009313405626'
2020-11-04,2020-11-07,2020-11-07,PS,29.632656,34.722553000000005,17.523058,2.201124973741189,Good,'-123.048/49.1534','-126.07397035158486/51.294963402833226'
2021-05-03,2021-05-07,2021-05-07,FD,29.632656,34.722553000000005,17.523058,4.0285996468581935,Good,'-123.048/49.1534','-126.07264013625559/51.29655579581727'
2020-11-23,2020-11-29,2020-11-28,FD,29.632656,34.722553000000005,17.523058,4.463769586958676,Good,'-123.048/49.1534','-126.0725552356603/51.294753609768485'
2021-01-30,2021-02-04,2021-02-04,FD,29.632656,34.722553000000005,17.523058,2.8372430842904457,Good,'-123.048/49.1534','-126.0730532594653/51.293180069363586'
2021-10-26,2021-11-01,2021-11-01,PS,29.632656,34.722553000000005,17.523058,6.105144995484313,Good,'-123.048/49.1534','-126.07252943639578/51.29494646418934'
2021-06-01,2021-06-06,2021-06-06,FD,29.632656,34.722553000000005,17.523058,2.1656627455469497,Good,'-123.048/49.1534','-126.07301780206855/51.29410049167568'
2021-06-05,2021-06-11,2021-06-10,FD,29.632656,34.722553000000005,17.523058,2.8302508323572466,Good,'-123.048/49.1534','-126.07369923823953/51.29248460750251'
2021-04-03,2021-04-06,2021-04-05,PS,29.632656,34.722553000000005,17.523058,3.2523816326051302,Good,'-123.048/49.1534','-126.07290695798925/51.294428790224195'
2021-04-17,2021-04-20,2021-04-19,PS,29.632656,34.722553000000005,17.523058,1.4276941362390887,Good,'-123.048/49.1534','-126.0723059379366/51.292973406976316'
2021-01-23,2021-01-27,2021-01-27,PS,29.632656,34.722553000000005,17.523058,1.290360147417425,Good,'-123.048/49.1534','-126.07325542292476/51.293908842211344'
2021-02-04,2021-02-12,2021-02-11,FD,29.632656,34.722553000000005,17.523058,5.047580540378059,Good,'-123.048/49.1534','-126.0720094438277/51.29552908602181'
2021-01-31,2021-02-04,2021-02-03,PS,29.632656,34.722553000000005,17.523058,2.8318296328693564,Good,'-123.048/49.1534','-126.07145177184367/51.29598103500292'
2021-07-03,2021-07-09,2021-07-09,FD,29.632656,34.722553000000005,17.523058,5.0301740270105775,Good,'-123.048/49.1534','-126.07181560802796/51.293727083481976'
2021-06-24,2021-06-28,2021-06-27,PS,29.632656,34.722553000000005,17.523058,2.2720622277094065,Good,'-123.048/49.1534','-126.07394241047655/51.29598457629813'
2020-11-07,2020-11-10,2020-11-09,PS,29.632656,34.722553000000005,17.523058,2.829444078236658,Good,'-123.048/49.1534','-126.07325163918325/51.2948101207971'
